KOD_DISC,NAME_DISC,NAME_DIV
"2","Українська мова","Кафедра мовної підготовки іноземних громадян"
"5","Філософія","Кафедра філософії"
"7","Етика і естетика","Кафедра психології, політології та соціокультурних технологій"
"8","Міжнародні економічні відносини","Кафедра міжнародних економічних відносин"
"9","Психологія","Кафедра психології, політології та соціокультурних технологій"
"10","Політологія","Кафедра психології, політології та соціокультурних технологій"
"11","Соціологія","Кафедра психології, політології та соціокультурних технологій"
"12","Правознавство","Кафедра конституційного права, теорії та історії держави і права"
"13","Іноземна мова","Кафедра іноземних мов"
"13","Іноземна мова","Кафедра іноземних мов ННІ БТ"
"14","Фізичне виховання","Кафедра фізичного виховання і спорту"
"15","Латинська мова","Кафедра германської філології"
"17","Основи інформатики та обчислювальної техніки","Кафедра електроніки, загальної та прикладної фізики"
"19","Теорія держави і права","Кафедра конституційного права, теорії та історії держави і права"
"20","Історія держави і права України","Кафедра конституційного права, теорії та історії держави і права"
"21","Історія держави і права зарубіжних країн","Кафедра конституційного права, теорії та історії держави і права"
"22","Організація судових та правоохоронних органів","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"25","Адміністративне право","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"26","Основи менеджменту","Кафедра управління"
"27","Основи римського приватного права","Кафедра міжнародного, європейського права та цивільно-правових дисциплін"
"28","Цивільне право","Кафедра міжнародного, європейського права та цивільно-правових дисциплін"
"29","Сімейне право","Кафедра міжнародного, європейського права та цивільно-правових дисциплін"
"30","Кримінальне право","Кафедра кримінально-правових дисциплін та судочинства"
"31","Трудове право","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"32","Господарське право","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"35","Аграрне право","Кафедра міжнародного, європейського права та цивільно-правових дисциплін"
"36","Кримінальний процес","Кафедра кримінально-правових дисциплін та судочинства"
"37","Цивільний процес","Кафедра кримінально-правових дисциплін та судочинства"
"38","Міжнародне приватне право","Кафедра міжнародного, європейського права та цивільно-правових дисциплін"
"39","Криміналістика","Кафедра кримінально-правових дисциплін та судочинства"
"40","Міжнародне право","Кафедра міжнародного, європейського права та цивільно-правових дисциплін"
"41","Основи права Європейського союзу","Кафедра кримінально-правових дисциплін та судочинства"
"41","Основи права Європейського союзу","Кафедра міжнародного, європейського права та цивільно-правових дисциплін"
"44","Державне будівництво та самоврядування в Україні","Кафедра конституційного права, теорії та історії держави і права"
"50","Господарське процесуальне право","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"52","Виконавче провадження","Кафедра кримінально-правових дисциплін та судочинства"
"53","Адміністративний процес","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"56","Податкове право","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"58","Право соціального забезпечення","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"61","Правова статистика","Кафедра міжнародного, європейського права та цивільно-правових дисциплін"
"68","Математичний аналіз","Кафедра математичного аналізу і методів оптимізації"
"68","Математичний аналіз","Кафедра прикладної математики та моделювання складних систем"
"69","Алгебра та геометрія","Кафедра математичного аналізу і методів оптимізації"
"70","Дискретна математика","Кафедра економічної кібернетики"
"70","Дискретна математика","секція інформаційно-комунікаційних технологій"
"71","Диференціальні рівняння","Кафедра прикладної математики та моделювання складних систем"
"72","Функціональний аналіз","Кафедра прикладної математики та моделювання складних систем"
"74","Теорія алгоритмів та математична логіка","секція інформаційно-комунікаційних технологій"
"75","Теорія ймовірностей та математична статистика","Кафедра прикладної математики та моделювання складних систем"
"76","Програмування","секція інформаційно-комунікаційних технологій"
"79","Аналіз даних","секція інформаційно-комунікаційних технологій"
"81","Чисельні методи","секція інформаційно-комунікаційних технологій"
"82","Системи та методи прийняття рішень","секція інформаційно-комунікаційних технологій"
"83","Бази даних та інформаційні системи","секція інформаційно-комунікаційних технологій"
"85","Комп'ютерні мережі","Кафедра економічної кібернетики"
"85","Комп'ютерні мережі","Кафедра електроніки та комп`ютерної техніки"
"88","Теорія керування","Кафедра прикладної математики та моделювання складних систем"
"90","Теорія програмування","секція інформаційно-комунікаційних технологій"
"92","Операційні системи","Кафедра економічної кібернетики"
"95","Спеціалізовані мови програмування","Кафедра загальної механіки та динаміки машин"
"101","Теорія функцій дійсної змінної","Кафедра прикладної математики та моделювання складних систем"
"103","Кваліфікаційна робота бакалавра","Кафедра бухгалтерського обліку та оподаткування"
"103","Кваліфікаційна робота бакалавра","Кафедра германської філології"
"103","Кваліфікаційна робота бакалавра","Кафедра економіки, підприємництва та бізнес-адміністрування"
"103","Кваліфікаційна робота бакалавра","Кафедра економічної кібернетики"
"103","Кваліфікаційна робота бакалавра","Кафедра електроенергетики"
"103","Кваліфікаційна робота бакалавра","Кафедра електроніки та комп`ютерної техніки"
"103","Кваліфікаційна робота бакалавра","Кафедра електроніки, загальної та прикладної фізики"
"103","Кваліфікаційна робота бакалавра","Кафедра журналістики та філології"
"103","Кваліфікаційна робота бакалавра","Кафедра загальної механіки та динаміки машин"
"103","Кваліфікаційна робота бакалавра","Кафедра міжнародних економічних відносин"
"103","Кваліфікаційна робота бакалавра","Кафедра маркетингу"
"103","Кваліфікаційна робота бакалавра","Кафедра наноелектроніки"
"103","Кваліфікаційна робота бакалавра","Кафедра прикладної гідроаеромеханіки"
"103","Кваліфікаційна робота бакалавра","Кафедра прикладної екології"
"103","Кваліфікаційна робота бакалавра","Кафедра прикладної математики та моделювання складних систем"
"103","Кваліфікаційна робота бакалавра","Кафедра прикладного матеріалознавства і технології конструкційних матеріалів"
"103","Кваліфікаційна робота бакалавра","Кафедра процесів та обладнання хімічних і нафтопереробних виробництв"
"103","Кваліфікаційна робота бакалавра","Кафедра психології, політології та соціокультурних технологій"
"103","Кваліфікаційна робота бакалавра","Кафедра технічної теплофізики"
"103","Кваліфікаційна робота бакалавра","Кафедра технології машинобудування, верстатів та інструментів"
"103","Кваліфікаційна робота бакалавра","Кафедра управління"
"103","Кваліфікаційна робота бакалавра","Кафедра фізичного виховання і спорту"
"103","Кваліфікаційна робота бакалавра","Кафедра фінансів і підприємництва"
"103","Кваліфікаційна робота бакалавра","Кафедра фінансів, банківської справи та страхування"
"103","Кваліфікаційна робота бакалавра","секція ""Інформаційні технології проектування"""
"103","Кваліфікаційна робота бакалавра","секція ""Комп`ютеризовані системи управління"""
"103","Кваліфікаційна робота бакалавра","секція інформаційно-комунікаційних технологій"
"104","Інтегральні рівняння","Кафедра прикладної математики та моделювання складних систем"
"105","Рівняння математичної фізики","Кафедра прикладної математики та моделювання складних систем"
"107","Випадкові процеси","Кафедра прикладної математики та моделювання складних систем"
"108","Фізика","Кафедра електроніки, загальної та прикладної фізики"
"109","Математичні методи в економіці","Кафедра прикладної математики та моделювання складних систем"
"110","Аналітична механіка","Кафедра загальної механіки та динаміки машин"
"110","Аналітична механіка","Кафедра прикладної математики та моделювання складних систем"
"113","Вступ до теорії апроксимації","Кафедра прикладної математики та моделювання складних систем"
"115","Репортерська праця","Кафедра журналістики та філології"
"117","Моделювання синергетичних систем","Кафедра прикладної математики та моделювання складних систем"
"118","Методика комп'ютерного експерименту","Кафедра прикладної математики та моделювання складних систем"
"119","Обчислювальні системи","Кафедра прикладної математики та моделювання складних систем"
"120","Теорія фракталів","Кафедра прикладної математики та моделювання складних систем"
"123","Теоретична механіка","Кафедра загальної механіки та динаміки машин"
"126","Основи конструювання відцентрових машин","Кафедра загальної механіки та динаміки машин"
"130","Динаміка роторних машин","Кафедра загальної механіки та динаміки машин"
"131","Гермомеханіка","Кафедра загальної механіки та динаміки машин"
"139","Українська мова ЗМІ","Кафедра журналістики та філології"
"158","Прес-служби та інформаційні агенства","Кафедра журналістики та філології"
"160","Вступ до спеціальності","Кафедра бухгалтерського обліку та оподаткування"
"160","Вступ до спеціальності","Кафедра електроенергетики"
"160","Вступ до спеціальності","Кафедра електроніки, загальної та прикладної фізики"
"160","Вступ до спеціальності","Кафедра конституційного права, теорії та історії держави і права"
"160","Вступ до спеціальності","Кафедра наноелектроніки"
"160","Вступ до спеціальності","Кафедра прикладної екології"
"160","Вступ до спеціальності","Кафедра прикладної математики та моделювання складних систем"
"160","Вступ до спеціальності","Кафедра психології, політології та соціокультурних технологій"
"160","Вступ до спеціальності","секція ""Комп`ютеризовані системи управління"""
"160","Вступ до спеціальності","секція інформаційно-комунікаційних технологій"
"162","Економіка підприємництва","Кафедра економіки, підприємництва та бізнес-адміністрування"
"163","Господарське право - КР","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"164","Теорія і методика журналістської творчості","Кафедра журналістики та філології"
"178","Проблематика ЗМІ","Кафедра журналістики та філології"
"181","Хімія","Кафедра теоретичної та прикладної хімії"
"184","Фізична хімія","Кафедра теоретичної та прикладної хімії"
"197","Корозія і захист матеріалів","Кафедра прикладного матеріалознавства і технології конструкційних матеріалів"
"198","Технологія виробництва та обробки матеріалів","Кафедра прикладного матеріалознавства і технології конструкційних матеріалів"
"200","Неметалеві матеріали","Кафедра прикладного матеріалознавства і технології конструкційних матеріалів"
"201","Порошкові та композиційні матеріали","Кафедра прикладного матеріалознавства і технології конструкційних матеріалів"
"203","Сплави з особливими властивостями","Кафедра прикладного матеріалознавства і технології конструкційних матеріалів"
"204","Кольорові метали і сплави","Кафедра прикладного матеріалознавства і технології конструкційних матеріалів"
"213","Опір матеріалів","секція ""Опір матеріалів"""
"214","Операційний менеджмент","Кафедра управління"
"215","Технологія конструкційних матеріалів та матеріалознавство","Кафедра прикладного матеріалознавства і технології конструкційних матеріалів"
"216","Деталі машин (основи конструювання)","секція ""Опір матеріалів"""
"218","Технологічні основи машинобудування","Кафедра технології машинобудування, верстатів та інструментів"
"220","Теоретичні основи теплотехніки","Кафедра технічної теплофізики"
"222","Гідравліка, гідро- та пневмоприводи","Кафедра прикладної гідроаеромеханіки"
"225","Управління персоналом","Кафедра управління"
"226","Програмування обробки на верстатах з ЧПУ","Кафедра технології машинобудування, верстатів та інструментів"
"228","Обладнання і транспорт механообробних цехів","Кафедра технології машинобудування, верстатів та інструментів"
"229","Теорія різання","Кафедра технології машинобудування, верстатів та інструментів"
"230","Технологічні методи виробництва заготовок деталей машин","Кафедра технології машинобудування, верстатів та інструментів"
"231","Теоретичні основи технології виробництва деталей та складання машин","Кафедра технології машинобудування, верстатів та інструментів"
"232","Ріжучий інструмент","Кафедра технології машинобудування, верстатів та інструментів"
"234","Технологія обробки типових деталей та складання машин","Кафедра технології машинобудування, верстатів та інструментів"
"235","Розмірний аналіз технологічних процесів","Кафедра технології машинобудування, верстатів та інструментів"
"236","Технологічна оснастка","Кафедра технології машинобудування, верстатів та інструментів"
"237","Механо-складальні дільниці і цехи в машинобудуванні","Кафедра технології машинобудування, верстатів та інструментів"
"238","Технологія машинобудування","Кафедра технології машинобудування, верстатів та інструментів"
"239","Металообробне обладнання","Кафедра технології машинобудування, верстатів та інструментів"
"243","Технологія верстатобудування","Кафедра технології машинобудування, верстатів та інструментів"
